N-Number,Serial Number,MFR MDL Code,Eng MFR Code,Year MFR,Type Registrant,Name,Street 1,Street2,City,State,ZIP,Region,County ,Country,Last Activity Date,Cert Issue Date,Certification Requested ,Type Aircraft,Type Engine,Status Code,Mode S Code,Fractional  Ownership,Airworthiness Date,Other Name 1,Other Name 2,Other Name 3,Other Name 4,Other Name 5,Expiration Date,Unique ID,Kit MFR Code,Kit Model,Mose S Code Hex
929EV,8007,1390008,30015,2004,NULL,"SKYWEST AIRLINES INC                              ","444 S RIVER RD                   ","                                 ","ST GEORGE         ",UT,847902085,S,53,US,20161205,20140421,"1T        ",5,5,"V ",53160021," ",20050127,NULL,NULL,NULL,NULL,NULL,20200430,155099,"    ",NULL,NULL
943DN,53557,302369A,34609,1997,NULL,"DELTA AIR LINES INC                               ","1775 MH JACKSON SERVICE RD       ","DEPT 595 AIRCRAFT REGISTRATIONS  ","ATLANTA           ",GA,30354,7,121,US,20150415,20120821,"1T        ",5,5,"V ",53214245," ",20130408,NULL,NULL,NULL,NULL,NULL,20180831,1104812,"    ",NULL,NULL
13908,145465,3260212,54571,2001,NULL,"WELLS FARGO BANK NORTHWEST NA TRUSTEE             ","299 S MAIN ST 5TH FLOOR          ","MAC U1228-51                     ","SALT LAKE CITY    ",UT,84111,S,35,US,20150128,20020531,"1T        ",5,5,25,50117431," ",20010714,NULL,NULL,NULL,NULL,NULL,20170430,753994,"    ",NULL,NULL
770AA,"E-1413                        ",1151604,17032,1978,NULL,"DAVISON INDUSTRIES INC                            ","9834 WINDMILL PARK LN            ","                                 ","HOUSTON           ",TX,770643301,2,201,US,20150609,20091027,"1U        ",4,1,"V ",52464410," ",19781207,NULL,NULL,NULL,NULL,NULL,20180731,941112,"    ",NULL,NULL
36247,28807,13844BZ,13802,1999,NULL,"WELLS FARGO BANK NORTHWEST NA TRUSTEE             ","MAC U1228-51                     ","299 S MAIN ST FL 5               ","SALT LAKE CITY    ",UT,841112689,S,35,US,20151104,19991203,"1T        ",5,5,"V ",51013276," ",19991201,NULL,NULL,NULL,NULL,NULL,20190131,945752,"    ",NULL,NULL
122AA,11228,7640122,41530,2006,NULL,"ADKINS AVIATION LLC                               ","19421 LIVERPOOL PKWY             ","                                 ","CORNELIUS         ",NC,280316283,1,119,US,20160527,20160527,"1N        ",6,1,"V ",50055441," ",20060427,NULL,NULL,NULL,NULL,NULL,20190531,243289,"    ",NULL,NULL
767SK,10233,1390015,30052,2005,NULL,"WELLS FARGO BANK NORTHWEST NA TRUSTEE             ","MAC: U1240-026                   ","299 S MAIN ST FL 5               ","SALT LAKE CITY    ",UT,841112689,S,35,US,20150202,20060728,"1T        ",5,5,"V ",52456443," ",20060106,NULL,NULL,NULL,NULL,NULL,20171031,224959,"    ",NULL,NULL
14180,14500900,3260214,54582,2005,NULL,"WELLS FARGO BANK NORTHWEST NA TRUSTEE             ","MAC U1228-51                     ","299 S MAIN ST FL 5               ","SALT LAKE CITY    ",UT,841112689,S,35,US,20160513,20050323,"1T        ",5,5,"V ",50124760," ",20050325,NULL,NULL,NULL,NULL,NULL,20191031,165159,"    ",NULL,NULL
18112,27302,1384958,54555,1995,NULL,"UNITED AIRLINES INC                               ","233 S WACKER DR                  ","                                 ","CHICAGO           ",IL,606067147,C,31,US,20141106,20141016,"1T        ",5,4,"V ",50243371," ",19950201,NULL,NULL,NULL,NULL,NULL,20171031,654702,"    ",NULL,NULL
630WN,27705,138447K,13802,1996,NULL,"SOUTHWEST AIRLINES CO                             ","2702 LOVE FIELD DR # HDQ-4GC     ","                                 ","DALLAS            ",TX,752351908,2,113,US,20140812,19960718,"1T        ",5,5,"V ",52037675," ",19960605,NULL,NULL,NULL,NULL,NULL,20171031,935592,"    ",NULL,NULL
919AA,195,05904IN,55556,2005,NULL,"FRIEL STEPHEN M                                   ","6140 VALDEZ DR                   ","                                 ","REX               ",GA,302731010,7,63,US,20071119,20071119,"48A       ",7,7,24,53134033," ",20071206,NULL,NULL,NULL,NULL,NULL,20130331,437619,"    ",NULL,NULL
661NK,6867,3940032,34611,2015,NULL,"SPIRIT AIRLINES INC                               ","2800 EXECUTIVE WAY               ","                                 ","MIRAMAR           ",FL,330256542,7,11,US,20151130,20151130,"1T        ",5,5,"V ",52134446," ",20151201,NULL,NULL,NULL,NULL,NULL,20181130,1194904,"    ",NULL,NULL
664NK,7021,3940032,34611,2016,NULL,"SPIRIT AIRLINES INC                               ","2800 EXECUTIVE WAY               ","                                 ","MIRAMAR           ",FL,330256542,7,11,US,20160412,20160412,"1T        ",5,5,"V ",52142113," ",20160413,NULL,NULL,NULL,NULL,NULL,20190430,1210387,"    ",NULL,NULL
473UA,1469,3930326,34702,2001,NULL,"UNITED AIRLINES INC                               ","ATTN TREASURER WILLIS TOWER      ","233 S WACKER DR                  ","CHICAGO           ",IL,606067147,C,31,US,20151210,20130401,"1T        ",5,5,"V ",51347002," ",20010605,NULL,NULL,NULL,NULL,NULL,20190430,693874,"    ",NULL,NULL
587UA,26713,1384956,52121,1993,NULL,"UNITED AIRLINES INC                               ","ATTN TREASURER WILLIS TOWER      ","233 S WACKER DR                  ","CHICAGO           ",IL,606067147,C,31,US,20151211,20130401,41,5,4,"V ",51710654," ",19941101,NULL,NULL,NULL,NULL,NULL,20190430,464072,"    ",NULL,NULL
137EV,15227,1390016,30050,2009,NULL,"DELTA AIR LINES INC                               ","1775 M H JACKSON SERVICE RD      ","DEPT 595 AIRCRAFT REGISTRATIONS  ","ATLANTA           ",GA,303543743,7,121,US,20160919,20090330,"1T        ",5,5,"V ",50112652," ",20090330,NULL,NULL,NULL,NULL,NULL,20191231,1028404,"    ",NULL,NULL
728SK,10192,1390015,30015,2005,NULL,"WELLS FARGO BANK NORTHWEST NA TRUSTEE             ","299 S MAIN ST 5TH FLOOR          ","MAC U1228-51                     ","SALT LAKE CITY    ",UT,84111,S,35,US,20150129,20050927,"1T        ",5,5,"V ",52341336," ",20050129,NULL,NULL,NULL,NULL,NULL,20180430,151699,"    ",NULL,NULL
991AA,"402C0317                      ",207590R,17040,1980,NULL,"OVH & ASSOCIATES LLC                              ","2 WEAVER WAY                     ","                                 ","SANDWICH          ",MA,25632572,E,1,US,20140825,20050804,"1N        ",5,1,"V ",53353133," ",19800718,NULL,NULL,NULL,NULL,NULL,20180131,853343,"    ",NULL,NULL
685DA,27588,1384965,52117,1995,NULL,"DELTA AIR LINES INC                               ","1775 M H JACKSON SERVICE RD      ","DEPT 595 AIRCRAFT REGISTRATIONS  ","ATLANTA           ",GA,303543743,7,121,US,20160919,19950331,"1T        ",5,5,"V ",52213026," ",19950331,NULL,NULL,NULL,NULL,NULL,20191231,503932,"    ",NULL,NULL
7832A,30657,13844JA,13044,2003,NULL,"WILMINGTON TRUST CO TRUSTEE                       ","1100 N MARKET ST                 ","                                 ","WILMINGTON        ",DE,198901100,1,3,US,20150615,20150615,"1T        ",5,5,"V ",52517112," ",20151029,NULL,NULL,NULL,NULL,NULL,20180630,1182816,"    ",NULL,NULL
16065,30199,1385101,30025,1999,NULL,"DELTA AIR LINES INC                               ","1775 M H JACKSON SERVICE RD      ","DEPT 595                         ","ATLANTA           ",GA,303543743,7,121,US,20140508,19990614,"1T        ",5,5,"V ",50172366," ",19990610,NULL,NULL,NULL,NULL,NULL,20170831,595712,"    ",NULL,NULL
27734,28949,13844BY,13802,1999,NULL,"UNITED AIRLINES INC                               ","ATTN TREASURER - WILLIS TOWER    ","233 S WACKER DR                  ","CHICAGO           ",IL,606067147,C,31,US,20141210,19990916,"1T        ",5,4,"V ",50541533," ",19990915,NULL,NULL,NULL,NULL,NULL,20180430,115752,"    ",NULL,NULL
457SW,7773,1390008,30015,2003,NULL,"WELLS FARGO BANK NORTHWEST NA TRUSTEE             ","MAC U1228-51                     ","299 S MAIN ST FL 5               ","SALT LAKE CITY    ",UT,841112689,S,35,US,20150825,20041206,"1T        ",5,5,"V ",51306702," ",20030327,NULL,NULL,NULL,NULL,NULL,20190131,38969,"    ",NULL,NULL
12109,27299,1384958,54555,1994,NULL,"UNITED AIRLINES INC                               ","233 S WACKER DR                  ","                                 ","CHICAGO           ",IL,606067147,C,31,US,20141015,20141015,"1T        ",5,4,"V ",50054743," ",19941205,NULL,NULL,NULL,NULL,NULL,20171031,624702,"    ",NULL,NULL
395SW,27689,138447K,30016,1994,NULL,"SOUTHWEST AIRLINES CO                             ","2702 LOVE FIELD DR # HDQ-4GC     ","                                 ","DALLAS            ",TX,752351908,2,113,US,20151204,19941207,"1T        ",5,5,"V ",51113401," ",19941104,NULL,NULL,NULL,NULL,NULL,20190331,735062,"    ",NULL,NULL
973DL,53241,3023688,52053,1991,NULL,"WILMINGTON TRUST CO TRUSTEE                       ","CORPORATE TRUST ADMIN RODNEY SQ  ","1100 N MARKET ST                 ","WILMINGTON        ",DE,19890,1,3,US,20140717,20070726,"1T        ",5,5,"V ",53307440," ",19910309,NULL,NULL,NULL,NULL,NULL,20171130,565341,"    ",NULL,NULL
630VA,3101,3940006,13011,2007,NULL,"WELLS FARGO BANK NORTHWEST NA TRUSTEE             ","MAC: U1228-51                    ","299 S MAIN ST FL 5               ","SALT LAKE CITY    ",UT,841112689,S,35,US,20150821,20071207,"1T        ",5,5,"V ",52037630," ",20070428,NULL,NULL,NULL,NULL,NULL,20190131,350619,"    ",NULL,NULL
347NB,1800,3940002,13802,2002,NULL,"DELTA AIR LINES INC                               ","1775 M H JACKSON SERVICE RD      ","DEPT 595 AIRCRAFT REGISTRATIONS  ","ATLANTA           ",GA,303543743,7,121,US,20160408,20091231,"1T        ",5,5,"V ",50754175," ",20020919,NULL,NULL,NULL,NULL,NULL,20190630,4879,"    ",NULL,NULL
916DN,53396,3023690,34601,1996,NULL,"DELTA AIR LINES INC                               ","1775 M H JACKSON SERVICE RD      ","DEPT 595 AIRCRAFT REGISTRATIONS  ","ATLANTA           ",GA,303543743,7,121,US,20160919,19970311,"1A        ",5,4,"V ",53126515," ",19961205,NULL,NULL,NULL,NULL,NULL,20191231,305861,"    ",NULL,NULL
321US,262,3930320,13802,1992,NULL,"DELTA AIR LINES INC                               ","DEPT 595 AIRCRAFT REGISTRATIONS  ","1775 M H JACKSON SERVICE RD      ","ATLANTA           ",GA,30354,7,121,US,20150630,20150630,"1T        ",5,4,"V ",50671732," ",19920224,NULL,NULL,NULL,NULL,NULL,20180630,493822,"    ",NULL,NULL
526VA,3347,3940009,13017,2008,NULL,"DS 128 FLUGZEUGFONDS III TRUST                    ","ATTN: CORPORATE TRUST ADMIN      ","1100 NORTH MARKET STREET         ","WILMINGTON        ",DE,198900001,1,3,US,20151222,20080109,"1T        ",5,5,"V ",51520424," ",20080110,NULL,NULL,NULL,NULL,NULL,20190531,455879,"    ",NULL,NULL
994DL,53346,3023689,52053,1991,NULL,"DELTA AIR LINES INC                               ","1775 M H JACKSON SERVICE RD      ","DEPT 595 AIRCRAFT REGISTRATIONS  ","ATLANTA           ",GA,303543743,7,121,US,20160725,19920203,"1T        ",5,4,"V ",53360725," ",19911213,NULL,NULL,NULL,NULL,NULL,20190930,713612,"    ",NULL,NULL
646SW,28331,138447K,30016,1997,NULL,"SOUTHWEST AIRLINES CO                             ","2702 LOVE FIELD DR # HDQ-4GC     ","                                 ","DALLAS            ",TX,752351908,2,113,US,20140512,19970602,"1T        ",5,5,"V ",52076452," ",19970404,NULL,NULL,NULL,NULL,NULL,20170831,586231,"    ",NULL,NULL
7710A,32656,13844CH,13802,2005,NULL,"AFS INVESTMENTS 56 LLC                            ","ATTN: OPERATIONS LEADER          ","901 MAIN AVE                     ","NORWALK           ",CT,68511168,E,1,US,20160615,20050324,"1T        ",5,5,"V ",52467427," ",20050316,NULL,NULL,NULL,NULL,NULL,20191130,152359,"    ",NULL,NULL
37700,29631,13844CF,13802,2002,NULL,"DELTA AIR LINES INC                               ","1775 M H JACKSON SERVICE RD      ","DEPT 595 AIRCRAFT REGISTRATIONS  ","ATLANTA           ",GA,303543743,7,121,US,20160725,20020226,"1T        ",5,4,"V ",51050075," ",20020219,NULL,NULL,NULL,NULL,NULL,20190930,743944,"    ",NULL,NULL
866AS,7517,1390008,30015,2001,NULL,"EXPRESSJET AIRLINES INC                           ","ATTN DIRECTOR-QUALITY            ","990 TOFFIE TER                   ","ATLANTA           ",GA,303541363,7,121,US,20140512,20010615,"1T        ",5,5,"V ",52762462," ",20010824,NULL,NULL,NULL,NULL,NULL,20170831,893944,"    ",NULL,NULL
171SY,17000485,3260415,30061,2015,NULL,"SKYWEST AIRLINES INC                              ","444 S RIVER RD                   ","                                 ","SAINT GEORGE      ",UT,847902085,S,53,US,20150616,20150616,"1T        ",5,5,"V ",50217213," ",20150617,NULL,NULL,NULL,NULL,NULL,20180630,1181031,"    ",NULL,NULL
282VA,6704,3940006,13090,2015,NULL,"VIRGIN AMERICA INC                                ","555 AIRPORT BLVD STE 500         ","                                 ","BURLINGAME        ",CA,940102000,4,81,US,20150828,20150806,"1T        ",5,5,"V ",50553505," ",20150807,NULL,NULL,NULL,NULL,NULL,20180831,1185047,"    ",NULL,NULL
285VA,6889,3940006,13090,2015,NULL,"VIRGIN AMERICA INC                                ","555 AIRPORT BLVD STE 500         ","                                 ","BURLINGAME        ",CA,940102000,4,81,US,20151215,20151215,"1T        ",5,5,"V ",50561152," ",20151216,NULL,NULL,NULL,NULL,NULL,20181231,1196769,"    ",NULL,NULL
716EV,10084,1390015,30015,2003,NULL,"EXPRESSJET AIRLINES INC                           ","ATTN DIRECTOR - MAINTENANCE      ","990 TOFFIE TER                   ","ATLANTA           ",GA,303541363,7,121,US,20160216,20030131,"1T        ",5,5,"V ",52311317," ",20030131,NULL,NULL,NULL,NULL,NULL,20190430,29579,"    ",NULL,NULL
140LL,25988,1385101,52119,1993,NULL,"DELTA AIR LINES INC                               ","1775 M H JACKSON SERVICE RD      ","DEPT 595                         ","ATLANTA           ",GA,303543743,7,121,US,20140312,20110511,"1T        ",5,5,25,50121665," ",19930617,NULL,NULL,NULL,NULL,NULL,20170531,464292,"    ",NULL,NULL
492SW,7168,1900309,30015,1997,NULL,"SKYWEST AIRLINES INC                              ","444 SOUTH RIVER RD               ","                                 ","ST GEORGE         ",UT,84790,S,53,US,20161205,20070417,"1T        ",5,5,"V ",51414453," ",19970508,NULL,NULL,NULL,NULL,NULL,20200131,896531,"    ",NULL,NULL
26226,28935,13844BZ,13802,1998,NULL,"UNITED AIRLINES INC                               ","ATTN TREASURER WILLIS TOWER      ","233 S WACKER DR                  ","CHICAGO           ",IL,606067147,C,31,US,20150818,19981223,"1T        ",5,5,"V ",50504450," ",19981221,NULL,NULL,NULL,NULL,NULL,20190131,583896,"    ",NULL,NULL
622SW,27932,138447K,99999,1996,NULL,"US BANK NA TRUSTEE                                ","CORPORATE TRUST SERVICES         ","300 DELAWARE AVE 9TH FLOOR       ","WILMINGTON        ",DE,19801,1,3,US,20160523,20090223,"1T        ",5,5,"V ",52017520," ",19960320,NULL,NULL,NULL,NULL,NULL,20190930,855592,"    ",NULL,NULL
408UA,457,3930326,34601,1994,NULL,"WELLS FARGO BANK NORTHWEST NA TRUSTEE             ","299 S MAIN ST 5TH FL             ","MAC U1228-051                    ","SALT LAKE CITY    ",UT,84111,S,35,US,20160927,20160927,"1T        ",5,5,"V ",51146034," ",19940408,NULL,NULL,NULL,NULL,NULL,20190930,464732,"    ",NULL,NULL
413UA,470,3930326,34601,1994,NULL,"UNITED AIRLINES INC                               ","233 S WACKER DR                  ","                                 ","CHICAGO           ",IL,606067147,C,31,US,20160708,20160708,"1T        ",5,5,"V ",51160410," ",19940719,NULL,NULL,NULL,NULL,NULL,20190731,84982,"    ",NULL,NULL
635JB,2725,3940004,34601,2006,NULL,"JETBLUE AIRWAYS CORP                              ","27-01 QUEENS PLAZA NORTH         ","                                 ","LONG ISLAND CITY  ",NY,111014020,1,81,US,20161027,20060404,"1T        ",5,5,"V ",52050431," ",20060405,NULL,NULL,NULL,NULL,NULL,20200331,244259,"    ",NULL,NULL
554JB,1898,3940004,34601,2002,NULL,"WELLS FARGO BANK NORTHWEST NA TRUSTEE             ","MAC U1228-51                     ","299 S MAIN ST FL 5               ","SALT LAKE CITY    ",UT,841112689,S,35,US,20150818,20021204,"1T        ",5,5,"V ",51607421," ",20030103,NULL,NULL,NULL,NULL,NULL,20190131,20989,"    ",NULL,NULL
423WN,29827,1384404,13802,2002,NULL,"SOUTHWEST AIRLINES CO                             ","2702 LOVE FIELD DR # HDQ-4GC     ","                                 ","DALLAS            ",TX,752351908,2,113,US,20141007,20020819,"1T        ",5,5,"V ",51204305," ",20020328,NULL,NULL,NULL,NULL,NULL,20180228,53904,"    ",NULL,NULL
184SY,17000590,3260415,30061,2016,NULL,"SKYWEST AIRLINES INC                              ","444 S RIVER RD                   ","                                 ","ST GEORGE         ",UT,847902085,S,53,US,20160909,20160909,"1T        ",5,5,"V ",50250457," ",20160912,NULL,NULL,NULL,NULL,NULL,20190930,1229117,"    ",NULL,NULL
455WN,32462,1384404,13802,2004,NULL,"SOUTHWEST AIRLINES CO                             ","2702 LOVE FIELD DR HDQ-4GC       ","                                 ","DALLAS            ",TX,75235,2,113,US,20140224,20040506,"1T        ",5,5,"V ",51303260," ",20040331,NULL,NULL,NULL,NULL,NULL,20170630,59979,"    ",NULL,NULL
916AA,"                              ","       ","     ","    ",NULL,"GARCIA ANGEL                                      ","4698 PEMBROOK PL                 ","                                 ","ORLANDO           ",FL,328117252,7,95,US,"        ","        ","          "," ","  ",5,53126366," ","        ",NULL,NULL,NULL,NULL,NULL,20170824,"        ","    ",NULL,NULL
848DN,31959,138488K,13078,2015,NULL,"WELLS FARGO BANK NORTHWEST NA TRUSTEE             ","MAC U1228-051                    ","299 S MAIN ST FL 5               ","SALT LAKE CITY    ",UT,841112689,S,35,US,20151119,20151119,"1T        ",5,5,"V ",52716751," ",20151113,NULL,NULL,NULL,NULL,NULL,20181130,1183269,"    ",NULL,NULL
232PQ,15232,1390016,30050,2009,NULL,"DELTA AIR LINES INC                               ","1775 MH JACKSON SERVICE RD       ","DEPT 595 AIRCRAFT REGISTRATIONS  ","ATLANTA           ",GA,30354,7,121,US,20161026,20140110,"1T        ",5,5,"V ",50410502," ",20090430,NULL,NULL,NULL,NULL,NULL,20200131,1030905,"    ",NULL,NULL
921AA,"                              ","       ","     ","    ",NULL,"WELLS FARGO BANK NORTHWEST NA TRUSTEE             ","299 S MAIN ST 5TH FL             ","                                 ","SALT LAKE CITY    ",UT,84111,S,35,US,"        ","        ","          "," ","  ",5,53140742," ","        ",NULL,NULL,NULL,NULL,NULL,20161125,"        ","    ",NULL,NULL
864AA,"                              ","       ","     ","    ",NULL,"WELLS FARGO BANK NORTHWEST NA TRUSTEE             ","299 S MAIN ST FL 5               ","                                 ","SALT LAKE CITY    ",UT,841112689,S,35,US,"        ","        ","          "," ","  ",5,52756664," ","        ",NULL,NULL,NULL,NULL,NULL,20161125,"        ","    ",NULL,NULL
966AT,55027,1383700,54565,2001,NULL,"WELLS FARGO BANK NORTHWEST NA TRUSTEE             ","MAC U1228-51                     ","299 S MAIN ST FL 5               ","SALT LAKE CITY    ",UT,841112689,S,35,US,20150223,20011029,"1T        ",5,5,"V ",53271202," ",20010907,NULL,NULL,NULL,NULL,NULL,20180731,833837,"    ",NULL,NULL
906EV,7642,1390008,"     ","    ",NULL,"EXPRESSJET AIRLINES INC                           ","ATTN DIRECTOR QUALITY            ","990 TOFFIE TER                   ","ATLANTA           ",GA,303541363,7,121,US,20140305,20020531,"          ",5,5,"V ",53102756," ","        ",NULL,NULL,NULL,NULL,NULL,20170630,287321,"    ",NULL,NULL
847VA,4948,3940006,13010,2011,NULL,"WELLS FARGO BANK NORTHWEST NA TRUSTEE             ","299 S MAIN ST 5TH FL             ","MAC U1228-51                     ","SALT LAKE CITY    ",UT,84111,S,35,US,20150130,20111221,"1T        ",5,5,"V ",52715666," ",20111222,NULL,NULL,NULL,NULL,NULL,20171231,1083415,"    ",NULL,NULL
385SW,26600,138447K,13802,1994,NULL,"U S BANK NA TRUSTEE                               ","ONE FEDERAL ST                   ","CORPORATE TRUST SERVICES         ","BOSTON            ",MA,2110,E,25,US,20140625,20040513,"1T        ",5,5,"V ",51067602," ",19940531,NULL,NULL,NULL,NULL,NULL,20170630,554912,"    ",NULL,NULL
12114,27556,1384958,54555,1995,NULL,"UNITED AIRLINES INC                               ","233 S WACKER DR                  ","                                 ","CHICAGO           ",IL,606067147,C,31,US,20160718,20131223,"1T        ",5,4,"V ",50055001," ",19950715,NULL,NULL,NULL,NULL,NULL,20191231,585242,"    ",NULL,NULL
528AA,600152,05658PM,9050,"    ",NULL,"SENER CORTLANDT G                                 ","19 WEST RD                       ","                                 ","BURLINGTON        ",VT,54082402,E,7,US,20140624,20090728,42,4,1,"V ",51523247," ",19860205,NULL,NULL,NULL,NULL,NULL,20171031,861736,"    ",NULL,NULL
215UA,30221,1385219,52119,2000,NULL,"UNITED AIRLINES INC                               ","ATTN: TREASURER WILLIS TOWER     ","233 S WACKER DR                  ","CHICAGO           ",IL,606067147,C,31,US,20151209,20130401,"1T        ",5,5,"V ",50346730," ",20000830,NULL,NULL,NULL,NULL,NULL,20190430,193747,"    ",NULL,NULL
959AT,55021,1383700,9500,2001,NULL,"WELLS FARGO BANK NORTHWEST NA TRUSTEE             ","MAC U1228-51                     ","299 S MAIN ST FL 5               ","SALT LAKE CITY    ",UT,841112689,S,35,US,20161116,20010502,"1T        ",5,5,"V ",53253050," ",20010321,NULL,NULL,NULL,NULL,NULL,20200430,403775,"    ",NULL,NULL
609SK,10020,1390015,30015,2002,NULL,"EXPRESSJET AIRLINES INC                           ","ATTN DIRECTOR QUALITY            ","990 TOFFIE TER                   ","ATLANTA           ",GA,303541363,7,121,US,20160301,20020125,"1T        ",5,5,"V ",51765110," ",20020125,NULL,NULL,NULL,NULL,NULL,20190430,284067,"    ",NULL,NULL
562AA,"YU15031122B01101              ",06101A7,"     ","    ",NULL,"ALPHA & OMEGA GROUP PC                            ","4601 LAKE BOONE TRL STE 3C       ","                                 ","RALEIGH           ",NC,276077518,1,183,US,20150623,20150623,"          ",6,10,"V ",51627131," ","        ",NULL,NULL,NULL,NULL,NULL,20180630,1178459,"    ",NULL,NULL
867AA,"                              ","       ","     ","    ",NULL,"WELLS FARGO BANK NORTHWEST NA TRUSTEE             ","299 S MAIN ST FL 5               ","                                 ","SALT LAKE CITY    ",UT,841112689,S,35,US,"        ","        ","          "," ","  ",5,52764331," ","        ",NULL,NULL,NULL,NULL,NULL,20161125,"        ","    ",NULL,NULL
967AA,"                              ","       ","     ","    ",NULL,"WELLS FARGO BANK NORTHWEST NA TRUSTEE             ","299 S MAIN ST 5TH FL             ","                                 ","SALT LAKE CITY    ",UT,84111,S,35,US,"        ","        ","          "," ","  ",5,53273050," ","        ",NULL,NULL,NULL,NULL,NULL,20161125,"        ","    ",NULL,NULL
824NW,1637,3940070,30073,2015,NULL,"US BANK NA TRUSTEE                                ","225 ASYLUM ST FL 23              ","                                 ","HARTFORD          ",CT,61031534,E,3,US,20161108,20161108,"1T        ",5,5,"V ",52640370," ",20150625,NULL,NULL,NULL,NULL,NULL,20191130,1180133,"    ",NULL,NULL
231WN,32499,1384404,13802,2006,NULL,"SOUTHWEST AIRLINES CO                             ","2702 LOVE FIELD DR # HDQ-4GC     ","                                 ","DALLAS            ",TX,752351908,2,113,US,20160830,20060324,"1T        ",5,5,"V ",50407070," ",20060226,NULL,NULL,NULL,NULL,NULL,20191231,191429,"    ",NULL,NULL
7747C,36091,1384511,13043,2007,NULL,"SOUTHWEST AIRLINES CO                             ","2702 LOVE FIELD DR # HDQ-4GC     ","                                 ","DALLAS            ",TX,752351908,2,113,US,20140729,20140729,"1T        ",5,5,"V ",52475463," ",20140711,NULL,NULL,NULL,NULL,NULL,20170731,357629,"    ",NULL,NULL
539AA,"                              ","       ","     ","    ",NULL,"CANCELLED/NOT ASSIGNED                            ","                                 ","                                 ","                  ","  ","          "," ","   ","  ","        ","        ","          "," ","  ",5,51550735," ","        ",NULL,NULL,NULL,NULL,NULL,"        ","        ","    ",NULL,NULL
769UA,26921,1385219,52119,1995,NULL,"UNITED AIRLINES INC                               ","ATTN TREASURER WILLIS TOWER      ","233 S WACKER DR                  ","CHICAGO           ",IL,606067147,C,31,US,20160425,20130401,"1T        ",5,5,"V ",52462272," ",19950627,NULL,NULL,NULL,NULL,NULL,20190430,325052,"    ",NULL,NULL
936AT,55058,1383700,9500,1999,NULL,"WELLS FARGO BANK NORTHWEST NA TRUSTEE             ","MAC: U1228-51                    ","299 S MAIN ST FL 5               ","SALT LAKE CITY    ",UT,841112689,S,35,US,20160219,20000223,"1T        ",5,5,"V ",53176005," ",20000203,NULL,NULL,NULL,NULL,NULL,20190731,156062,"    ",NULL,NULL
447WN,33720,1384404,13802,2003,NULL,"SOUTHWEST AIRLINES CO                             ","2702 LOVE FIELD DR # HDQ-4GC     ","                                 ","DALLAS            ",TX,752351908,2,113,US,20160305,20040112,"1T        ",5,5,"V ",51263237," ",20031111,NULL,NULL,NULL,NULL,NULL,20190630,32519,"    ",NULL,NULL
3764D,30818,13844CF,13802,2001,NULL,"DELTA AIR LINES INC                               ","1775 M H JACKSON SERVICE RD      ","DEPT 595 AIRCRAFT REGISTRATIONS  ","ATLANTA           ",GA,303543743,7,121,US,20160413,20011227,"1T        ",5,4,"V ",51046375," ",20011116,NULL,NULL,NULL,NULL,NULL,20190531,303735,"    ",NULL,NULL
551AA,600171,05658NZ,9050,1985,NULL,"LEBLANC GLENN T                                   ","812 HELIOS AVENUE                ","                                 ","METAIRIE          ",LA,70005,2,51,US,20150313,19850905,42,4,1,"V ",51601443," ",19850125,NULL,NULL,NULL,NULL,NULL,20180430,133375,"    ",NULL,NULL
604AA,27055,1384957,54555,1995,NULL,"AMERICAN AIRLINES INC                             ","PO BOX MD 5662 619616            ","                                 ","DFW AIRPORT       ",TX,75261,2,113,US,20140415,19950613,"1T        ",5,5,"V ",51753034," ",19950612,NULL,NULL,NULL,NULL,NULL,20170831,964952,"    ",NULL,NULL
536US,26483,1384970,52117,1995,NULL,"DELTA AIR LINES INC                               ","DEPT 595 AIRCRAFT REGISTRATIONS  ","1775 MH JACKSON SERVICE RD       ","ATLANTA           ",GA,30354,7,121,US,20150527,20150527,"1T        ",5,4,"V ",51544212," ",19951211,NULL,NULL,NULL,NULL,NULL,20180531,225621,"    ",NULL,NULL
862AA,"                              ","       ","     ","    ",NULL,"IATS                                              ","PO BOX 19527                     ","                                 ","OKLAHOMA CITY     ",OK,731440527,2,109,US,"        ","        ","          "," ","  ",5,52753106," ","        ",NULL,NULL,NULL,NULL,NULL,20161125,"        ","    ",NULL,NULL
861AA,"                              ","       ","     ","    ",NULL,"IATS                                              ","PO BOX 19527                     ","                                 ","OKLAHOMA CITY     ",OK,731440527,2,109,US,"        ","        ","          "," ","  ",5,52751217," ","        ",NULL,NULL,NULL,NULL,NULL,20161125,"        ","    ",NULL,NULL
851AA,"                              ","       ","     ","    ",NULL,"IATS                                              ","PO BOX 19527                     ","                                 ","OKLAHOMA CITY     ",OK,731440527,2,109,US,"        ","        ","          "," ","  ",5,52725420," ","        ",NULL,NULL,NULL,NULL,NULL,20161125,"        ","    ",NULL,NULL
852AA,"                              ","       ","     ","    ",NULL,"IATS                                              ","PO BOX 19527                     ","                                 ","OKLAHOMA CITY     ",OK,731440527,2,109,US,"        ","        ","          "," ","  ",5,52727307," ","        ",NULL,NULL,NULL,NULL,NULL,20161125,"        ","    ",NULL,NULL
