N-Number,Serial Number,MFR MDL Code,Eng MFR Code,Year MFR,Type Registrant,Name,Street 1,Street2,City,State,ZIP,Region,County ,Country,Last Activity Date,Cert Issue Date,Certification Requested ,Type Aircraft,Type Engine,Status Code,Mode S Code,Fractional  Ownership,Airworthiness Date,Other Name 1,Other Name 2,Other Name 3,Other Name 4,Other Name 5,Expiration Date,Unique ID,Kit MFR Code,Kit Model,Mose S Code Hex
8606C,35964,138440A,"     ","    ",NULL,"SOUTHWEST AIRLINES CO                             ","2702 LOVE FIELD DR HDQ-4GC       ","                                 ","DALLAS            ",TX,75235,2,113,US,20151205,20130129,"          ",5,5,"V ",52751004," ","        ",NULL,NULL,NULL,NULL,NULL,20190131,1100022,"    ",NULL,NULL
8607M,36634,138440A,13078,2013,NULL,"SOUTHWEST AIRLINES CO                             ","2702 LOVE FIELD DR  HDQ-4GC      ","                                 ","DALLAS            ",TX,752351908,2,113,US,20151210,20130204,"1T        ",5,5,"V ",52751060," ",20130119,NULL,NULL,NULL,NULL,NULL,20190228,1100025,"    ",NULL,NULL
54711,28782,13844BY,13802,1998,NULL,"WELLS FARGO BANK NORTHWEST NA TRUSTEE             ","299 S MAIN ST 5TH FLOOR          ","MAC U1228-51                     ","SALT LAKE CITY    ",UT,84111,S,35,US,20150129,19980922,"1T        ",5,4,"V ",51572202," ",19980918,NULL,NULL,NULL,NULL,NULL,20180531,723666,"    ",NULL,NULL
546UA,25367,1384956,52121,1991,NULL,"WELLS FARGO BANK NORTHWEST NA TRUSTEE             ","299 S MAIN ST 5TH FLOOR          ","MAC U1228-51                     ","SALT LAKE CITY    ",UT,84111,S,35,US,20150825,20081205,"1T        ",5,4,"V ",51567771," ",19911213,NULL,NULL,NULL,NULL,NULL,20190131,385261,"    ",NULL,NULL
7724A,36725,1384511,13044,2009,NULL,"SOUTHWEST AIRLINES CO                             ","2702 LOVE FIELD DR # HDQ-4GC     ","                                 ","DALLAS            ",TX,752351908,2,113,US,20160830,20131106,"1T        ",5,5,"V ",52471532," ",20130923,NULL,NULL,NULL,NULL,NULL,20191130,1020545,"    ",NULL,NULL
844DN,31955,138488K,13078,2015,NULL,"WELLS FARGO BANK NORTHWEST NA TRUSTEE             ","MAC U1228-051                    ","299 S MAIN ST FL 5               ","SALT LAKE CITY    ",UT,841112689,S,35,US,20150810,20150810,"1T        ",5,5,"V ",52707415," ",20150804,NULL,NULL,NULL,NULL,NULL,20180831,1169104,"    ",NULL,NULL
849DN,31960,138488K,13078,2015,NULL,"WELLS FARGO BANK NORTHWEST NA TRUSTEE             ","MAC U1228-051                    ","299 S MAIN ST FL 5               ","SALT LAKE CITY    ",UT,841112689,S,35,US,20151125,20151125,"1T        ",5,5,"V ",52720640," ",20151123,NULL,NULL,NULL,NULL,NULL,20181130,1183261,"    ",NULL,NULL
850DN,31961,138488K,13078,"    ",NULL,"WELLS FARGO BANK NORTHWEST NA TRUSTEE             ","MAC U1228-051                    ","299 S MAIN ST FL 5               ","SALT LAKE CITY    ",UT,841112689,S,35,US,20151210,20151210,"1T        ",5,5,"V ",52723660," ",20151206,NULL,NULL,NULL,NULL,NULL,20181231,1183265,"    ",NULL,NULL
851DN,31962,138488K,13078,2016,NULL,"DELTA AIR LINES INC                               ","DEPT 595 AIRCRAFT REGISTRATIONS  ","1775 MH JACKSON SERVICE RD       ","ATLANTA           ",GA,30354,7,121,US,20160119,20160119,"1T        ",5,5,"V ",52725547," ",20160114,NULL,NULL,NULL,NULL,NULL,20190131,1183268,"    ",NULL,NULL
852DN,31963,138488K,13078,2016,NULL,"DELTA AIR LINES INC                               ","DEPT 595 AIRCRAFT REGISTRATIONS  ","1775 M H JACKSON SERVICE RD      ","ATLANTA           ",GA,30354,7,121,US,20160125,20160125,"1T        ",5,5,"V ",52727436," ",20160122,NULL,NULL,NULL,NULL,NULL,20190131,1183270,"    ",NULL,NULL
